data_pagamento	etapa	quantidade	unidade	descricao	fornecedor	chave_pix	links_cotacao	valor	status	data_agendamento	data_entrega	forma_pagamento	documentos	observacao
12/01/2026	1			Custas Unificação Parte 1	Prefeitura			R$ 167,52	FINALIZADO			PIX		
27/01/2026	1			Custas Unificação Parte 2	Prefeitura			R$ 108,39	FINALIZADO			PIX		
05/02/2026	1			Custas Unificação Parte 3	Prefeitura			R$ 700,00	FINALIZADO			PIX		
19/02/2026	1			Custas Engenheiro	Engenheiro			R$ 980,00	FINALIZADO			PIX		
24/06/2026	1			Deslocamento do container para o terreno da obra				R$ 350,00	FINALIZADO			PIX		
05/07/2026	1	2		2 Câmeras Intelbras	Amazon			R$ 610,06	FINALIZADO			PIX		
03/08/2026	1	2		2 Protetor de Câmera de Segurança Universal Resistente Contra Sol e Chuva Poeira	Shoppe			R$ 79,90	FINALIZADO			CARTAO		
04/08/2026	1			Entrada Contrato	Engenheiro			R$ 5.000,00	FINALIZADO			PIX		
10/08/2026	1			Taxa de Regularização do Processo (Alvará)	Prefeitura			R$ 194,19	FINALIZADO			PIX		
10/08/2026	1			Taxa de Expediente da Regularização (Alvará)	Prefeitura			R$ 83,98	FINALIZADO			PIX		
21/08/2026	2			Poste de luz da CEEE e mureta de muro da Corsan	JVI Postes			R$ 2.990,00	FINALIZADO			PIX		
28/08/2026	2	20	Caixas	Aditivo Impermeabilizante Contra Umidade Viapol 18L	Tumeleiro			R$ 1.525,40	FINALIZADO			CARTAO		
28/08/2026	2	20	Caixas	Aditivo Impermeabilizante Contra Umidade Viapol 18L	Tumeleiro			R$ 1.525,40	FINALIZADO			CARTAO		
31/08/2026	2	15	Galões	Aditivo Impermeabilizante Injetec 5L Vbrasil Hidrofugante Incolor	Mercado Livre			R$ 1.425,00	FINALIZADO			PIX		
31/08/2026	2	438	Peças	438 peças de madeira serrada	Madereira e Serraria Fortaleza			R$ 5.663,00	FINALIZADO	31/08/2026	31/08/2026	PIX		
31/08/2026	2		Peças	Ferros Barra Reta	Arcelormittal Brasil			R$ 11.491,67	PAGO	02/09/2026		PIX		
31/08/2026	2			Frete Ferros Barra Reta	Arcelormittal Brasil			R$ 170,00	PAGO	03/09/2026		PIX		
01/09/2026	2	20	Caixas	Aditivo Impermeabilizante Quart Tecplus Top 18kg	Kasa Obra			R$ 998,00	PAGO	04/09/2026		PIX		
03/09/2026	2	3000	Unidades	Tijolos 9 furos 14 x 19 x 24 (R$ 1.900,00 milheiro)	Olaria Grimm			R$ 5.500,00	PAGO			PIX		
	2			Laje Protendida	Tiago Vogel			R$ 11.500,00	EM_NEGOCIACAO					
